"name","Long_epsg2946","Lat_epsg2946"
"Site recharge-1",279337.530040603,5233147.06491926
"Site recharge-2",279346.929013603,5233149.81668948
"Site recharge-3",278988.772343165,5233136.2741264
"Site recharge-4",279322.665561391,5233144.93999498
"Site recharge-5",279451.318727636,5233233.77790315
"Site recharge-6",278999.428358446,5233132.29721682
"Site recharge-7",279164.308925997,5233116.54156441
"Site recharge-8",279145.839572096,5233109.07181005
"Site recharge-9",279226.059068516,5233131.07167071
"Site recharge-10",279183.942148006,5233119.80861789
"Site recharge-11",279413.376881633,5233187.8991295
"Site recharge-12",278974.681602354,5233143.17347741
"Site recharge-13",279277.669633223,5233139.83900114
"Site recharge-14",279403.830760556,5233187.22129339
"Site recharge-15",279259.461200414,5233125.88683071
"Site recharge-16",279297.332268346,5233143.02940997
"Site recharge-17",279437.494470763,5233222.17647758
"Site recharge-18",279079.224212033,5233119.83835264
"Site recharge-19",279334.976384068,5233158.23656444
"Site recharge-20",279089.037953289,5233119.94487233
"Site recharge-21",279340.916941539,5233157.50363225
"Site recharge-22",279017.183740651,5233126.99399276
"Site recharge-23",279392.012509885,5233181.59221529
"Site recharge-24",278982.578586438,5233136.04242303
"Site recharge-25",279447.885722673,5233217.36127117
"Site recharge-26",278985.954370348,5233130.00147107
"Site recharge-27",279276.003707614,5233135.75898635
"Site recharge-28",279100.565551119,5233111.98164514
"Site recharge-29",279191.419557572,5233121.36296993
"Site recharge-30",279128.431975104,5233112.03236337
"Site recharge-31",279433.666196711,5233216.19123436
"Site recharge-32",279406.257249461,5233186.35766432
"Site recharge-33",279160.768414856,5233122.53422942
"Site recharge-34",279311.233093243,5233141.57335656
"Site recharge-35",279410.013716995,5233188.75499351
"Site recharge-36",279083.599554705,5233114.58527008
"Site recharge-37",279467.422720785,5233257.57519182
"Site recharge-38",279182.050010269,5233120.51090608
"Site recharge-39",279234.647377584,5233128.4931812
"Site recharge-40",279202.489349702,5233121.6192423
"Site recharge-41",279000.278924031,5233128.65563613
"Site recharge-42",279376.760919824,5233170.44578616
"Site recharge-43",279436.79547701,5233212.99050159
"Site recharge-44",279127.982253208,5233108.29564727
"Site recharge-45",279108.998355495,5233110.66966944
"Site recharge-46",279166.320376921,5233112.03037469
"Site recharge-47",279357.529330022,5233162.78850416
"Site recharge-48",279290.995978077,5233137.18497812
"Site recharge-49",279459.435429546,5233242.23029622
"Site recharge-50",279177.25288791,5233119.60466123
"Site sous-influence large-1",279426.833522501,5233256.68591871
"Site sous-influence large-2",279389.792628906,5233199.15750486
"Site sous-influence large-3",279061.980841499,5233152.92856688
"Site sous-influence large-4",279193.077815889,5233129.87698919
"Site sous-influence large-5",279348.807082171,5233176.53877186
"Site sous-influence large-6",279201.912737862,5233143.16982995
"Site sous-influence large-7",279108.969804697,5233130.48591677
"Site sous-influence large-8",279154.815446116,5233152.42042565
"Site sous-influence large-9",279091.575466051,5233137.61196138
"Site sous-influence large-10",279426.34621115,5233227.03383075
"Site sous-influence large-11",279379.646151353,5233186.96560028
"Site sous-influence large-12",279457.407858559,5233262.11609048
"Site sous-influence large-13",279218.11688227,5233143.44745224
"Site sous-influence large-14",279341.194312407,5233186.21846426
"Site sous-influence large-15",279176.913031592,5233138.18712607
"Site sous-influence large-16",279077.812472369,5233141.23588718
"Site sous-influence large-17",279002.071797532,5233176.16911932
"Site sous-influence large-18",279349.336651762,5233181.84202889
"Site sous-influence large-19",279119.976418796,5233145.18609921
"Site sous-influence large-20",279037.947453989,5233152.5672258
"Site sous-influence large-21",279320.35514817,5233183.41048472
"Site sous-influence large-22",279276.27351153,5233157.20125349
"Site sous-influence large-23",279026.343167471,5233138.84891617
"Site sous-influence large-24",279135.287059481,5233140.89608385
"Site sous-influence large-25",279067.648477098,5233132.54098547
"Site sous-influence large-26",279179.153319982,5233144.10734258
"Site sous-influence large-27",279300.61562884,5233162.74048515
"Site sous-influence large-28",279122.486496879,5233140.18343708
"Site sous-influence large-29",279351.294894948,5233184.26306711
"Site sous-influence large-30",279323.065536032,5233174.34851502
"Site sous-influence large-31",278989.831049428,5233149.64968413
"Site sous-influence large-32",279269.706267784,5233157.87488711
"Site sous-influence large-33",279104.421924712,5233136.32387518
"Site sous-influence large-34",279140.825388118,5233128.43170248
"Site sous-influence large-35",279011.943302324,5233173.29397843
"Site sous-influence large-36",279144.828878871,5233125.29170231
"Site sous-influence large-37",279046.121430814,5233148.78944967
"Site sous-influence large-38",279267.870285765,5233152.46889277
"Site sous-influence large-39",279019.741358916,5233163.55284299
"Site sous-influence large-40",279336.313698532,5233183.23565268
"Site sous-influence large-41",279406.177089227,5233228.74184291
"Site sous-influence large-42",279195.849878744,5233137.40169917
"Site sous-influence large-43",279304.046546833,5233156.64291887
"Site sous-influence large-44",279131.479121377,5233153.78833151
"Site sous-influence large-45",279196.11285586,5233153.15308724
"Site sous-influence large-46",279465.833170176,5233266.67324792
"Site sous-influence large-47",279159.908845584,5233143.99590288
"Site sous-influence large-48",279189.447677984,5233143.16977279
"Site sous-influence large-49",279293.461062055,5233166.05719351
"Site sous-influence large-50",279121.279058292,5233130.77192116
"Site sous-influence ouest-1",278935.325489769,5233154.89949637
"Site sous-influence ouest-2",278925.25465114,5233162.05409241
"Site sous-influence ouest-3",278963.253902001,5233144.43026084
"Site sous-influence ouest-4",278907.396171469,5233167.29627599
"Site sous-influence ouest-5",278949.32013293,5233142.10957291
"Site sous-influence ouest-6",278895.035260025,5233171.05956893
"Site sous-influence ouest-7",278943.52257876,5233145.89524156
"Site sous-influence ouest-8",278914.796138023,5233166.66192974
"Site sous-influence ouest-9",278953.144160817,5233142.54969699
"Site sous-influence ouest-10",278911.162912105,5233163.68426657
"Site sous-influence ouest-11",278965.33245341,5233145.40761173
"Site sous-influence ouest-12",278891.729796986,5233181.49006496
"Site sous-influence ouest-13",278897.302564281,5233170.28894268
"Site sous-influence ouest-14",278933.151777512,5233151.43017282
"Site sous-influence ouest-15",278920.583945259,5233153.6063001
"Site sous-influence ouest-16",278956.331467502,5233144.21365381
"Site sous-influence ouest-17",278920.800075497,5233157.71078094
"Site sous-influence ouest-18",278959.88719947,5233147.90720047
"Site sous-influence ouest-19",278898.965058869,5233179.90584477
"Site sous-influence ouest-20",278948.102162483,5233150.85737636
"Site sous-influence ouest-21",278945.103160169,5233141.60765968
"Site sous-influence ouest-22",278966.10621681,5233134.33013615
"Site sous-influence ouest-23",278927.90672311,5233157.8139658
"Site sous-influence ouest-24",278893.447886571,5233184.51973874
"Site sous-influence ouest-25",278927.98570419,5233149.78209691
"Site sous-influence ouest-26",278895.163077379,5233183.29716235
"Site sous-influence ouest-27",278899.112465376,5233165.09905858
"Site sous-influence ouest-28",278926.032239764,5233154.72710886
"Site sous-influence ouest-29",278904.325244111,5233176.88216411
"Site sous-influence ouest-30",278933.572140863,5233157.2028627
"Site sous-influence ouest-31",278882.41428486,5233178.95733762
"Site sous-influence ouest-32",278941.261533546,5233146.6814674
"Site sous-influence ouest-33",278947.300357594,5233143.29062857
"Site sous-influence ouest-34",278923.605266836,5233163.35234065
"Site sous-influence ouest-35",278904.498548013,5233161.95088058
"Site sous-influence ouest-36",278884.042928679,5233176.88805038
"Site sous-influence ouest-37",278917.366494751,5233168.20527216
"Site sous-influence ouest-38",278912.174099065,5233169.22416416
"Site sous-influence ouest-39",278891.282142293,5233174.90599386
"Site sous-influence ouest-40",278937.970370952,5233146.94328091
"Site sous-influence ouest-41",278903.651896072,5233164.68940948
"Site sous-influence ouest-42",278892.399999374,5233176.93630573
"Site sous-influence ouest-43",278949.018286873,5233146.99349633
"Site sous-influence ouest-44",278967.644312903,5233132.82341883
"Site sous-influence ouest-45",278888.701196465,5233174.43928994
"Site sous-influence ouest-46",278958.161712111,5233140.33602872
"Site sous-influence ouest-47",278966.890793575,5233144.00422052
"Site sous-influence ouest-48",278926.343392602,5233152.67379549
"Site sous-influence ouest-49",278966.782375186,5233138.80524105
"Site sous-influence ouest-50",278884.476332079,5233181.2663468
"Site référence ouest-1",278758.061623628,5233223.36800541
"Site référence ouest-2",278637.717357576,5233255.16199267
"Site référence ouest-3",278693.20356729,5233227.05453921
"Site référence ouest-4",278674.763856132,5233242.81979296
"Site référence ouest-5",278540.912384641,5233293.87382544
"Site référence ouest-6",278497.342762747,5233321.27544109
"Site référence ouest-7",278621.716990662,5233253.20533973
"Site référence ouest-8",278531.860550324,5233303.74276782
"Site référence ouest-9",278770.34042289,5233222.23099571
"Site référence ouest-10",278617.91740417,5233253.86162028
"Site référence ouest-11",278668.33332098,5233243.92103439
"Site référence ouest-12",278710.895533565,5233230.7844035
"Site référence ouest-13",278656.808809243,5233238.53377059
"Site référence ouest-14",278576.856965209,5233279.48774331
"Site référence ouest-15",278753.226609146,5233218.97509181
"Site référence ouest-16",278685.887043895,5233235.05882543
"Site référence ouest-17",278583.795127678,5233272.72976108
"Site référence ouest-18",278646.398688571,5233248.72911421
"Site référence ouest-19",278719.017949625,5233231.08572234
"Site référence ouest-20",278713.494176506,5233219.85893722
"Site référence ouest-21",278719.058879322,5233220.24237509
"Site référence ouest-22",278633.270856149,5233247.56465124
"Site référence ouest-23",278690.728754107,5233225.09504731
"Site référence ouest-24",278534.373380727,5233297.50124149
"Site référence ouest-25",278743.238576901,5233226.04896101
"Site référence ouest-26",278665.680781966,5233246.07287775
"Site référence ouest-27",278571.818269525,5233284.29888633
"Site référence ouest-28",278668.132605678,5233236.88757354
"Site référence ouest-29",278757.288328139,5233220.46684346
"Site référence ouest-30",278590.662773693,5233267.53468618
"Site référence ouest-31",278551.36573851,5233293.68318535
"Site référence ouest-32",278675.651894547,5233230.32206418
"Site référence ouest-33",278649.223941868,5233245.53000597
"Site référence ouest-34",278547.296939127,5233296.8653929
"Site référence ouest-35",278555.034857316,5233286.99076478
"Site référence ouest-36",278510.447274966,5233309.37644035
"Site référence ouest-37",278741.940679572,5233217.02949082
"Site référence ouest-38",278566.013211038,5233284.67989731
"Site référence ouest-39",278780.842708459,5233219.11467968
"Site référence ouest-40",278549.215140372,5233286.30218757
"Site référence ouest-41",278584.607294578,5233266.15213777
"Site référence ouest-42",278489.2519997,5233329.60680396
"Site référence ouest-43",278588.735345525,5233269.61557906
"Site référence ouest-44",278521.743192593,5233310.46132372
"Site référence ouest-45",278702.653675023,5233225.35429681
"Site référence ouest-46",278751.542221073,5233225.64542322
"Site référence ouest-47",278761.584245106,5233215.19540776
"Site référence ouest-48",278579.549997633,5233267.20191464
"Site référence ouest-49",278598.189630649,5233260.54825045
"Site référence ouest-50",278542.764251777,5233286.14913612
"Site référence large-1",279268.784595367,5233232.82328585
"Site référence large-2",279266.167741139,5233227.55384895
"Site référence large-3",279383.982220502,5233318.82487952
"Site référence large-4",279106.276607802,5233222.76342136
"Site référence large-5",279312.280771556,5233250.81472643
"Site référence large-6",279116.320972718,5233228.10082211
"Site référence large-7",279341.777325481,5233250.20132102
"Site référence large-8",279372.364798007,5233282.8676542
"Site référence large-9",279367.348496404,5233310.6059985
"Site référence large-10",279162.196163028,5233217.25400719
"Site référence large-11",279405.559030551,5233311.95884375
"Site référence large-12",279260.45376356,5233224.75606301
"Site référence large-13",279234.305152797,5233216.56236995
"Site référence large-14",279202.981036897,5233239.84676028
"Site référence large-15",279064.323182331,5233224.58282103
"Site référence large-16",279164.178402575,5233218.46908029
"Site référence large-17",279210.16946892,5233216.6762055
"Site référence large-18",279074.972306504,5233232.07718522
"Site référence large-19",279326.618611147,5233271.8318224
"Site référence large-20",279101.369421771,5233207.70829479
"Site référence large-21",279211.008567808,5233222.84141157
"Site référence large-22",279135.826506974,5233231.01007529
"Site référence large-23",279381.995672119,5233325.04812388
"Site référence large-24",279203.788565071,5233217.98642741
"Site référence large-25",279256.817158598,5233240.67534464
"Site référence large-26",279119.178237043,5233213.14709452
"Site référence large-27",279242.146064889,5233234.8856524
"Site référence large-28",279089.215667301,5233234.34373549
"Site référence large-29",279297.20151596,5233246.26788964
"Site référence large-30",279391.87396819,5233294.36705639
"Site référence large-31",279330.608482262,5233250.28988864
"Site référence large-32",279137.432520763,5233228.11760378
"Site référence large-33",279211.273831599,5233246.80587483
"Site référence large-34",279047.668453732,5233224.97594407
"Site référence large-35",279250.131019892,5233222.48937827
"Site référence large-36",279078.688011353,5233210.51836071
"Site référence large-37",279048.375771418,5233229.49103341
"Site référence large-38",279387.559944216,5233305.88475787
"Site référence large-39",279176.74133264,5233211.53808103
"Site référence large-40",279330.974222229,5233246.13395612
"Site référence large-41",279025.527196,5233230.86083219
"Site référence large-42",279082.320933275,5233230.69142688
"Site référence large-43",279364.909608084,5233292.75588199
"Site référence large-44",279104.30863392,5233233.55240798
"Site référence large-45",279210.952497426,5233234.88144344
"Site référence large-46",279354.222913884,5233297.81740792
"Site référence large-47",279320.959685512,5233246.98643619
"Site référence large-48",279231.047414541,5233223.48246685
"Site référence large-49",279130.561503533,5233232.82815135
"Site référence large-50",279157.734096729,5233210.43117755
